Time,pair,open,high,low,close,volume,rsi_6,macd
2017-11-28 09:00:00,ETH/USDT,472.32,474.39,469.23,473.61,717.85157,59.37167855531361,2.2311332009419402
2017-11-28 10:00:00,ETH/USDT,472.4,473.99,465.97,469.98,920.5971,44.412991441493354,1.9460164466864285
2017-11-28 11:00:00,ETH/USDT,469.99,475.0,469.02,472.07,1216.33973,52.65461397258234,1.8671811953844895
2017-11-28 12:00:00,ETH/USDT,472.26,477.27,470.71,475.59,1289.10048,63.57071773396575,2.064934987721813
2017-11-28 13:00:00,ETH/USDT,475.57,477.5,472.5,476.87,802.07721,66.90080752533717,2.298446534564789
2017-11-28 14:00:00,ETH/USDT,476.87,476.87,472.55,475.05,998.82438,57.874048348177865,2.310018868592067
2017-11-28 15:00:00,ETH/USDT,475.86,475.87,470.53,473.66,1067.6441,51.50499999514073,2.1818773198260146
2017-11-28 16:00:00,ETH/USDT,473.65,475.89,472.19,473.3,927.7967,49.8016520175932,2.027898871991397
2017-11-28 17:00:00,ETH/USDT,473.3,473.3,465.6,470.16,1476.16801,36.995661449739856,1.6336661977962308
2017-11-28 18:00:00,ETH/USDT,470.17,473.0,470.17,471.78,869.89202,45.648310501083515,1.4354079351327869
2017-11-28 19:00:00,ETH/USDT,471.0,471.01,467.28,468.34,807.50442,33.81487005104459,0.9893035078594039
2017-11-28 20:00:00,ETH/USDT,468.35,471.01,467.01,469.57,935.28358,40.43965027612133,0.7266370362593761
2017-11-28 21:00:00,ETH/USDT,469.52,469.97,455.0,455.05,1728.4655,16.7249276795022,-0.6457271456068838
2017-11-28 22:00:00,ETH/USDT,455.05,467.01,453.5,466.1,2106.60826,45.76802743860199,-0.8321010528171655
2017-11-28 23:00:00,ETH/USDT,466.12,469.98,464.04,469.47,1149.84451,51.906536124644376,-0.6998059538757389
2017-11-29 00:00:00,ETH/USDT,469.49,470.0,463.7,467.22,1399.26674,47.59071381500659,-0.767668130444406
2017-11-29 01:00:00,ETH/USDT,466.05,468.96,464.04,466.63,980.69202,46.37733056742694,-0.8591536747024975
2017-11-29 02:00:00,ETH/USDT,466.63,468.17,464.0,464.74,671.99812,42.23765233728308,-1.0718086888682592
2017-11-29 03:00:00,ETH/USDT,464.71,465.89,459.31,463.96,994.82137,40.44956495876412,-1.2884266208913573
2017-11-29 04:00:00,ETH/USDT,465.87,465.87,460.43,465.77,666.19158,46.72931640526751,-1.299071136055943
2017-11-29 05:00:00,ETH/USDT,465.0,469.8,464.03,466.61,617.87597,49.684222355500296,-1.225598079434974
2017-11-29 06:00:00,ETH/USDT,466.61,474.99,465.44,469.76,547.18245,59.73492489767425,-0.9027847378723095
